epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
38,384.211,0.53669,1.03791,0.40894,1.0104,0,0.91785,0.94535,0.95909,0.75683,0.91785,0.94535,0.95585,0.7739,0.69031,0.99667,0.43385,1.27481,0,0.0005348,0.0005348,0.0005348
39,394.815,0.53303,0.96129,0.40259,1.01467,0,0.89049,0.90769,0.92501,0.73148,0.90792,0.92308,0.93251,0.74899,0.75754,1.08174,0.48377,1.29541,0,0.0004952,0.0004952,0.0004952
40,404.655,0.52103,0.99887,0.40021,1.02014,0,0.93967,0.88462,0.93394,0.76177,0.95216,0.9,0.94283,0.7613,0.6902,0.99072,0.40961,1.25591,0,0.0004556,0.0004556,0.0004556
41,415.023,0.43086,0.79619,0.31788,1.00627,0,0.9498,0.89231,0.93562,0.76392,0.93008,0.9,0.9366,0.76632,0.68607,1.00274,0.41982,1.241,0,0.000416,0.000416,0.000416
42,424.849,0.42433,0.79062,0.30678,0.99882,0,0.86544,0.88462,0.88909,0.7016,0.87409,0.89231,0.88723,0.71197,0.74565,1.10109,0.50399,1.32164,0,0.0003764,0.0003764,0.0003764
43,434.627,0.40577,0.74235,0.30131,0.9843,0,0.92829,0.89624,0.93567,0.74675,0.91095,0.92308,0.941,0.76862,0.70708,1.03434,0.44434,1.2869,0,0.0003368,0.0003368,0.0003368
44,444.634,0.40097,0.75186,0.29267,0.98547,0,0.92729,0.88298,0.9419,0.75433,0.93584,0.89765,0.95167,0.76631,0.71293,1.01656,0.45641,1.29192,0,0.0002972,0.0002972,0.0002972
45,454.454,0.39467,0.73499,0.28543,0.97115,0,0.92062,0.9,0.94568,0.76443,0.92849,0.90769,0.94229,0.76477,0.74387,0.97778,0.44399,1.30316,0,0.0002576,0.0002576,0.0002576
46,464.317,0.38131,0.71407,0.26819,0.95971,0,0.90739,0.90439,0.92354,0.73592,0.92278,0.91928,0.93069,0.75119,0.72057,1.04662,0.45331,1.28983,0,0.000218,0.000218,0.000218
47,474.072,0.37142,0.71816,0.27669,0.95926,0,0.92245,0.91502,0.93948,0.76846,0.92245,0.91502,0.95125,0.7765,0.6709,1.00981,0.42797,1.23013,0,0.0001784,0.0001784,0.0001784
48,483.989,0.35616,0.64936,0.25402,0.95393,0,0.93079,0.89231,0.92616,0.74544,0.91107,0.94565,0.93317,0.75441,0.70439,1.05203,0.42143,1.28372,0,0.0001388,0.0001388,0.0001388
49,493.87,0.35307,0.67042,0.24597,0.95676,0,0.89917,0.9,0.90412,0.74389,0.91454,0.91538,0.92592,0.75344,0.71236,1.07507,0.4396,1.32925,0,9.92e-05,9.92e-05,9.92e-05
50,503.773,0.35107,0.6652,0.24878,0.9474,0,0.93949,0.89231,0.90485,0.7409,0.95151,0.90577,0.92016,0.75226,0.70674,1.02839,0.43101,1.30339,0,5.96e-05,5.96e-05,5.96e-05
